id,biolovision_english,biolovision_latin,ebird_species_code
123,Greater Scaup,Aythya marila,gresca
124,Lesser Scaup,Aythya affinis,lessca
125,Hybrid duck,Anatidae sp. x Anatidae sp.,duck1
126,Common Goldeneye,Bucephala clangula,comgol
127,Bufflehead,Bucephala albeola,buffle
128,Barrow's Goldeneye,Bucephala islandica,bargol
129,Long-tailed Duck,Clangula hyemalis,lotduc
130,Harlequin Duck,Histrionicus histrionicus,harduc
131,Common Eider,Somateria mollissima,comeid
132,King Eider,Somateria spectabilis,kineid
133,Black Scoter,Melanitta nigra,blksco1
134,Velvet Scoter,Melanitta fusca,whwsco3
135,Steller's Eider,Polysticta stelleri,steeid
136,White-headed Duck,Oxyura leucocephala,whhduc1
137,Ruddy Duck,Oxyura jamaicensis,rudduc
138,Maccoa Duck,Oxyura maccoa,macduc1
139,Hooded Merganser,Lophodytes cucullatus,hoomer
140,Smew,Mergellus albellus,smew
141,Common Merganser,Mergus merganser,commer
142,Red-breasted Merganser,Mergus serrator,rebmer
143,Black-winged Kite,Elanus caeruleus,bkskit1
144,European Honey Buzzard,Pernis apivorus,euhbuz1
145,Red Kite,Milvus milvus,redkit1
146,Black Kite,Milvus migrans,blakit1
147,Northern Goshawk,Accipiter gentilis,norgos1
148,Eurasian Sparrowhawk,Accipiter nisus,eurspa1
149,Long-legged Buzzard,Buteo rufinus,lolbuz1
150,Common Buzzard,Buteo buteo,combuz1
151,Rough-legged Buzzard,Buteo lagopus,rolhaw
152,Bonelli's Eagle,Aquila fasciata,boneag2
153,Booted Eagle,Aquila pennata,booeag1
154,Golden Eagle,Aquila chrysaetos,goleag
155,Eastern Imperial Eagle,Aquila heliaca,impeag1
156,Greater Spotted Eagle,Aquila clanga,grseag1
157,Lesser Spotted Eagle,Aquila pomarina,leseag1
158,White-tailed Eagle,Haliaeetus albicilla,whteag
159,Eurasian Black Vulture,Aegypius monachus,cinvul1
160,Eurasian Griffon,Gyps fulvus,eurgri1
161,Egyptian Vulture,Neophron percnopterus,egyvul1
162,Bearded Vulture,Gypaetus barbatus,lammer1
163,Hen Harrier,Circus cyaneus,norhar1
164,Pallid Harrier,Circus macrourus,palhar1
165,Montagu's Harrier,Circus pygargus,monhar1
166,Western Marsh Harrier,Circus aeruginosus,wemhar1
167,unident. Harrier,Circus sp.,harrie1
168,Short-toed Snake Eagle,Circaetus gallicus,shteag1
169,Osprey,Pandion haliaetus,osprey
170,Lanner Falcon,Falco biarmicus,lanfal1
171,Saker Falcon,Falco cherrug,sakfal1
172,Gyrfalcon,Falco rusticolus,gyrfal
173,Peregrine Falcon,Falco peregrinus,perfal
174,Eurasian Hobby,Falco subbuteo,eurhob
175,Eleonora's Falcon,Falco eleonorae,elefal1
176,Merlin,Falco columbarius,merlin
177,Red-footed Falcon,Falco vespertinus,reffal1
178,Lesser Kestrel,Falco naumanni,leskes1
179,Common Kestrel,Falco tinnunculus,eurkes
180,American Kestrel,Falco sparverius,amekes
181,Western Capercaillie,Tetrao urogallus,wescap1
182,Black Grouse,Tetrao tetrix,blagro1
183,Rock Ptarmigan,Lagopus muta,rocpta1
184,Hazel Grouse,Tetrastes bonasia,hazgro1
185,Rock Partridge,Alectoris graeca,rocpar2
186,Red-legged Partridge,Alectoris rufa,relpar1
187,Chukar Partridge,Alectoris chukar,chukar
188,Grey Partridge,Perdix perdix,grypar
189,Common Quail,Coturnix coturnix,comqua1
190,Common Pheasant,Phasianus colchicus,rinphe1
191,Silver Pheasant,Lophura nycthemera,silphe
192,Golden Pheasant,Chrysolophus pictus,golphe
193,Common Crane,Grus grus,comcra
194,Black-Crowned Crane,Balearica pavonina,blccra1
195,Demoiselle Crane,Grus virgo,demcra1
196,Water Rail,Rallus aquaticus,watrai1
197,Corn Crake,Crex crex,corcra
198,Little Crake,Porzana parva,litcra1
199,Baillon's Crake,Porzana pusilla,baicra1
200,Spotted Crake,Porzana porzana,spocra1
201,Purple Gallinule,Porphyrio martinicus,purgal2
202,Common Moorhen,Gallinula chloropus,commoo3
203,Allen's Gallinule,Porphyrio alleni,allgal1
204,,Porphyrio porphyrio,purswa1
205,Eurasian Coot,Fulica atra,eurcoo
206,Little Bustard,Tetrax tetrax,litbus1
207,Great Bustard,Otis tarda,grebus1
208,Houbara Bustard,Chlamydotis undulata,houbus1
209,Eurasian Oystercatcher,Haematopus ostralegus,euroys1
210,White-tailed Lapwing,Vanellus leucurus,whtlap1
211,Sociable Lapwing,Vanellus gregarius,soclap1
212,Red-wattled Lapwing,Vanellus indicus,rewlap1
213,Northern Lapwing,Vanellus vanellus,norlap
214,Spur-winged Lapwing,Vanellus spinosus,spwlap1
215,Grey Plover,Pluvialis squatarola,bkbplo
216,European Golden Plover,Pluvialis apricaria,eugplo
217,Common Ringed Plover,Charadrius hiaticula,corplo
218,Little Ringed Plover,Charadrius dubius,lirplo
219,Kentish Plover,Charadrius alexandrinus,kenplo1
220,Killdeer,Charadrius vociferus,killde
221,Eurasian Dotterel,Charadrius morinellus,eurdot
222,Whimbrel,Numenius phaeopus,whimbr
223,Slender-billed Curlew,Numenius tenuirostris,slbcur
224,Eurasian Curlew,Numenius arquata,eurcur
225,Black-tailed Godwit,Limosa limosa,bktgod
226,Bar-tailed Godwit,Limosa lapponica,batgod
227,Spotted Redshank,Tringa erythropus,spored
228,Common Redshank,Tringa totanus,comred1
229,Marsh Sandpiper,Tringa stagnatilis,marsan
230,Common Greenshank,Tringa nebularia,comgre
231,Green Sandpiper,Tringa ochropus,grnsan
232,Wood Sandpiper,Tringa glareola,woosan
233,Common Sandpiper,Actitis hypoleucos,comsan
234,Spotted Sandpiper,Actitis macularius,sposan
235,Terek Sandpiper,Xenus cinereus,tersan
236,Ruddy Turnstone,Arenaria interpres,rudtur
237,Great Snipe,Gallinago media,gresni1
238,Common Snipe,Gallinago gallinago,comsni
239,Jack Snipe,Lymnocryptes minimus,jacsni
240,Eurasian Woodcock,Scolopax rusticola,eurwoo
241,Sanderling,Calidris alba,sander
242,Red Knot,Calidris canutus,redkno
243,Little Stint,Calidris minuta,litsti
244,Temminck's Stint,Calidris temminckii,temsti
245,White-rumped Sandpiper,Calidris fuscicollis,whrsan
246,Baird's Sandpiper,Calidris bairdii,baisan
247,Pectoral Sandpiper,Calidris melanotos,pecsan
248,Purple Sandpiper,Calidris maritima,pursan
249,Dunlin,Calidris alpina,dunlin
250,Curlew Sandpiper,Calidris ferruginea,cursan
251,Broad-billed Sandpiper,Limicola falcinellus,brbsan
252,Buff-breasted Sandpiper,Tryngites subruficollis,bubsan
253,Ruff,Philomachus pugnax,ruff
254,Black-winged Stilt,Himantopus himantopus,bkwsti
255,Pied Avocet,Recurvirostra avosetta,pieavo1
256,Red Phalarope,Phalaropus fulicarius,redpha1
257,Red-necked Phalarope,Phalaropus lobatus,renpha
258,unident. Phalarope,Phalaropus sp.,phalar
259,Eurasian Stone-curlew,Burhinus oedicnemus,eutkne1
260,Cream-colored Courser,Cursorius cursor,crccou1
261,Collared Pratincole,Glareola pratincola,colpra
262,Black-winged Pratincole,Glareola nordmanni,blwpra1
263,Great Skua,Stercorarius skua,gresku1
264,Pomarine Skua,Stercorarius pomarinus,pomjae
265,Parasitic Skua,Stercorarius parasiticus,parjae
266,Long-tailed Skua,Stercorarius longicaudus,lotjae
267,unidentified Skua,Stercorarius sp.,y00615
268,Ivory Gull,Pagophila eburnea,ivogul
269,Audouin's Gull,Larus audouinii,audgul1
270,Common Gull,Larus canus,mewgul
272,Herring Gull,Larus argentatus,euhgul1
273,Yellow-legged Gull,Larus michahellis,yelgul1
274,Caspian Gull,Larus cachinnans,casgul2
275,Lesser Black-backed Gull,Larus fuscus,lbbgul
276,Great Black-backed Gull,Larus marinus,gbbgul
277,Great Black-headed Gull,Larus ichthyaetus,gbhgul2
278,Glaucous Gull,Larus hyperboreus,glagul
279,Iceland Gull,Larus glaucoides,y00478
280,Ring-billed Gull,Larus delawarensis,ribgul
281,Mediterranean Gull,Larus melanocephalus,medgul1
282,Common Black-headed Gull,Larus ridibundus,bkhgul
283,Slender-billed Gull,Larus genei,slbgul1
284,Little Gull,Hydrocoloeus minutus,litgul
285,Ross's Gull,Rhodostethia rosea,rosgul
