id,biolovision_english,biolovision_latin,ebird_species_code
2000,Species not listed,Species ignota,bird1
2370,Anax ephippiger,,
2670,Pantala flavescens,,
2772,Lestes sp.,,
2777,Ischnura sp.,,
2778,Aeshnidae sp.,,
2779,Gomphidae sp.,,
2781,Corduliidae sp.,,
5335,Danaus plexippus,,
5598,Vanessa cardui,,
5646,Hesperiidae sp.,,
5666,Danaus sp.,,
6150,Rattus norvegicus,,
6160,Rattus rattus,,
6193,Mus musculus musculus,,
6205,Rattus norvegicus / rattus,,
6510,Chiroptera sp.,,
6780,Myotis sp.,,
7200,Caretta caretta,,
7210,Chelonia mydas,,
7230,Eretmochelys imbricata,,
7240,Dermochelys coriacea,,
7260,Trachemys scripta,,
9520,Balaenoptera acutorostrata,,
9530,Balaenoptera borealis,,
9540,Balaenoptera musculus,,
9550,Balaenoptera physalus,,
9560,Megaptera novaeangliae,,
9580,Delphinus delphis,,
9590,Feresa attenuata,,
9610,Globicephala macrorhynchus,,
9620,Grampus griseus,,
9630,Lagenodelphis hosei,,
9660,Orcinus orca,,
9670,Pseudorca crassidens,,
9680,Stenella coeruleoalba,,
9690,Steno bredanensis,,
9700,Tursiops truncatus,,
9710,Kogia breviceps,,
9720,Kogia sima,,
9750,Physeter macrocephalus,,
9790,Ziphius cavirostris,,
9791,Delphinidae sp.,,
10000,Aucune espèce trouvée,No aves,bird1
11001,Élanion à queue blanche,Elanus leucurus,whtkit
11002,Élanion perle,Gampsonyx swainsonii,peakit1
11003,Bec-en-croc de Temminck,Chondrohierax uncinatus,hobkit
11004,Bec-en-croc (Milan) de Cayenne,Leptodon cayanensis,grhkit1
11006,Swallow-tailed Kite,Elanoides forficatus,swtkit
11007,Milan des marais,Rostrhamus sociabilis,snakit
11008,Milan à long bec,Helicolestes hamatus,slbkit1
11009,Harpage (Milan) bidenté,Harpagus bidentatus,dotkit1
11010,Harpage (Milan) diodon,Harpagus diodon,rutkit1
11012,Milan bleuâtre,Ictinia plumbea,plukit1
11015,Busard de Buffon,Circus buffoni,lowhar1
11017,Autour à ventre gris,Accipiter poliogaster,gybhaw1
11018,Épervier nain,Microspizias superciliosus,tinhaw1
11020,Sharp-shinned Hawk,Accipiter striatus,shshaw
11021,Épervier « brun »,Accipiter groupe striatus / ventralis,
11023,Épervier bicolore,Accipiter bicolor,
11025,Buse échasse,Geranospiza caerulescens,crahaw
11027,Buse ardoisée,Buteogallus schistaceus,slchaw2
11029,Buse à face noire,Leucopternis melanops,blfhaw1
11033,White Hawk,Pseudastur albicollis,whihaw1
11036,Buse noire,Buteogallus anthracinus,comblh1
11037,Buse buson,Buteogallus aequinoctialis,ruchaw1
11038,Buse urubu,Buteogallus urubitinga,grbhaw1
11039,Buse roussâtre,Buteogallus meridionalis,savhaw1
11040,Buse solitaire,Buteogallus solitarius,soleag1
11042,Buse à tête blanche,Busarellus nigricollis,blchaw1
11045,Roadside Hawk,Rupornis magnirostris,roahaw
11046,Petite Buse,Buteo platypterus,brwhaw
11048,Buse cendrée,Buteo nitidus,gryhaw3
11049,Buse à queue courte,Buteo brachyurus,shthaw
11053,Buse à queue blanche,Geranoaetus albicaudatus,whthaw
11055,Buse à queue barrée,Buteo albonotatus,zothaw
11058,Harpie huppée,Morphnus guianensis,creeag1
11059,Harpie féroce,Harpia harpyja,hareag1
11060,Aigle noir et blanc,Spizaetus melanoleucus,bawhae1
11061,Aigle tyran,Spizaetus tyrannus,blheag1
11062,Aigle orné,Spizaetus ornatus,orheag1
11065,Ringed Kingfisher,Megaceryle torquata,rinkin1
11066,Belted Kingfisher,Megaceryle alcyon,belkin1
11067,Martin-pêcheur d'Amazonie,Chloroceryle amazona,amakin1
11068,Martin-pêcheur vert,Chloroceryle americana,grnkin
11069,Green-and-rufous Kingfisher,Chloroceryle inda,garkin1
11070,Martin-pêcheur nain,Chloroceryle aenea,ampkin1
11077,Coscoroba Swan,Coscoroba coscoroba,cosswa1
11078,Andean Goose,Chloephaga melanoptera,andgoo1
11082,Ruddy-headed Goose,Chloephaga rubidiceps,ruhgoo1
11083,Orinoco Goose,Neochen jubata,origoo1
11107,Puna Teal,Spatula puna,puntea1
11111,Red Shoveler,Anas platalea,redsho1
11121,Érismature routoutou,Nomonyx dominicus,masduc
11126,Kamichi cornu,Anhima cornuta,horscr1
11129,Anhinga d'Amérique,Anhinga anhinga,anhing
11130,Martinet genre Cypseloides,Cypseloides sp.,cypsel1
11132,Martinet à menton blanc,Cypseloides cryptus,whcswi1
11133,Martinet sombre,Cypseloides niger,blkswi
11140,Martinet à collier blanc,Streptoprocne zonaris,whcswi
11142,Martinet genre Chaetura,Chaetura sp.,chaetu
11143,Martinet spinicaude,Chaetura spinicaudus,barswi
11148,Martinet de Chapman,Chaetura chapmani,chaswi2
11150,Martinet de Sick,Chaetura meridionalis,sicswi1
11151,Martinet polioure,Chaetura brachyura,shtswi1
11152,Martinet montagnard,Aeronautes montivagus,whtswi1
11155,Martinet claudia,Tachornis squamata,ftpswi1
11156,Martinet de Cayenne,Panyptila cayennensis,lstswi1
11158,Courlan brun,Aramus guarauna,limpki
11159,Onoré rayé,Tigrisoma lineatum,ruther1
11160,Onoré fascié,Tigrisoma fasciatum,father1
11162,Onoré agami,Agamia agami,agaher1
11163,Savacou huppé,Cochlearius cochlearius,bobher1
11164,Butor zigzag,Zebrilus undulatus,zigher1
11165,Butor mirasol,Botaurus pinnatus,pinbit1
11166,Petit Blongios,Ixobrychus exilis,
11167,Blongios varié,Ixobrychus involucris,
11169,Yellow-crowned Night-Heron,Nyctanassa violacea,ycnher
11175,Cocoi Heron,Ardea cocoi,cocher1
11179,Héron coiffé,Pilherodius pileatus,capher1
11180,Aigrette bleue imm / Aigrette neigeuse,Egretta thula / caerulea imm.,
11181,Aigrette bleue ad. / Aigrette tricolore,Egretta caerulea ad. / tricolor,
11182,Aigrette indéterminée,Egretta sp.,egrett1
11183,Aigrette tricolore,Egretta tricolor,triher
11188,Little Blue Heron,Egretta caerulea,libher
11192,Tamatia à gros bec,Notharchus macrorhynchos,guipuf1
11196,Tamatia pie,Notharchus tectus,piepuf1
11198,Tamatia tacheté,Bucco tamatia,spopuf1
11200,Tamatia à collier,Bucco capensis,colpuf1
11206,Tamatia brun,Malacoptila fusca,whcpuf1
11214,Barbacou rufalbin,Nonnula rubecula,rubnun1
11221,Barbacou noir,Monasa atra,blanun1
11225,Barbacou à croupion blanc,Chelidoptera tenebrosa,swwpuf1
11236,Cabézon tacheté,Capito niger,blsbar1
11242,Engoulevent à queue courte,Lurocalis semitorquatus,shtnig1
11246,Engoulevent minime,Chordeiles acutipennis,lesnig
11249,Engoulevent leucopyge,Nyctiprogne leucopyga,batnig1
11251,Engoulevent nacunda,Chordeiles nacunda,nacnig1
11252,Engoulevent pauraqué,Nyctidromus albicollis,compau
11256,Engoulevent roux,Antrostomus rufus,rufnig1
11259,Engoulevent coré,Hydropsalis cayennensis,whtnig1
11261,Engoulevent à queue étoilée,Hydropsalis maculicaudus,
11265,Engoulevent de Guyane,Setopagis maculosa,caynig1
11266,Engoulevent noirâtre,Nyctipolus nigrescens,blanig1
11269,Engoulevent trifide,Hydropsalis climacocerca,latnig1
11276,Piranga rouge-sang,Piranga flava haemalea,
11277,Summer Tanager,Piranga rubra,sumtan
11281,Piranga bifascié,Piranga leucoptera,whwtan1
11293,Granatelle de Pelzeln,Granatellus pelzelni,robcha1
11294,Vermilion Cardinal,Cardinalis phoeniceus,vercar1
11295,Cardinal flavert,Caryothraustes canadensis,yeggro1
11296,Cardinal érythromèle,Periporphyrus erythromelas,rabgro1
11301,Évêque de Rothschild,Cyanoloxia rothschildii,bubgro2
11305,Dickcissel d'Amérique,Spiza americana,dickci
11309,Urubu à tête jaune,Cathartes burrovianus,lyhvul1
11310,Grand Urubu,Cathartes melambrotus,gyhvul1
11311,Black Vulture,Coragyps atratus,blkvul
11312,Sarcoramphe roi,Sarcoramphus papa,kinvul1
11314,Vanneau de Cayenne,Vanellus cayanus,
11315,Vanneau téro,Vanellus chilensis,soulap1
11321,Semipalmated Plover,Charadrius semipalmatus,semplo
11322,Willow Tit,Parus montanus rhenanus / salicarius,wiltit1
11323,Alpine Willow Tit,Parus montanus montanus,wiltit2
11326,Collared Plover,Charadrius collaris,colplo1
11335,Cigogne maguari,Ciconia maguari,magsto1
11336,Jabiru d'Amérique,Jabiru mycteria,jabiru
11337,Tantale d'Amérique,Mycteria americana,woosto
11340,Colombe à queue noire,Columbina passerina,cogdov
11341,Colombe pygmée,Columbina minuta,pbgdov1
11342,Ruddy Ground-Dove,Columbina talpacoti,rugdov
11344,Colombe écaillée,Columbina squammata,scadov1
11348,Colombe bleutée,Claravis pretiosa,blgdov1
11357,Corvus monedula monedula / soemmeringgii,Corvus monedula monedula / soemmeringgii,
11360,Pigeon ramiret,Patagioenas speciosa,scapig2
11367,Pigeon rousset,Patagioenas cayennensis,pavpig2
11369,Pigeon plombé,Patagioenas plumbea,plupig2
11370,Pigeon vineux,Patagioenas subvinacea,rudpig
11375,Tourterelle oreillarde,Zenaida auriculata,eardov1
11377,Colombe de Verreaux,Leptotila verreauxi,whtdov
11381,Colombe à front gris,Leptotila rufaxilla,grfdov1
11391,Colombe rouviolette,Geotrygon montana,ruqdov
11393,Conopophage à oreilles blanches,Conopophaga aurita,chbgna1
11412,Geai de Cayenne,Cyanocorax cayanus,cayjay1
11439,Cotinga ouette,Phoenicircus carnifex,gurcot1
11441,Coq-de-roche orange,Rupicola rupicola,gcoroc1
11445,Coracine rouge,Haematoderus militaris,crifru1
11446,Purple-throated Fruitcrow,Querula purpurata,putfru1
11450,Coracine chauve,Perissocephalus tricolor,capuch1
11453,Cotinga de Daubenton,Cotinga cotinga,pubcot1
11455,Cotinga de Cayenne,Cotinga cayana,spacot1
11460,Piauhau hurleur,Lipaugus vociferans,scrpih1
11465,Araponga blanc,Procnias albus,whibel2
11470,Cotinga pompadour,Xipholena punicea,pomcot1
11473,Coracine à col nu,Gymnoderus foetidus,banfru1
11480,Pénélope marail,Penelope marail,margua1
11492,Pénélope à gorge bleue,Pipile cumanensis,butpig1
11503,Ortalide motmot,Ortalis motmot,varcha1
11509,Hocco alector,Crax alector,blacur1
11519,Petit Piaye,Coccycua minuta,litcuc2
11521,Ash-colored Cuckoo,Coccycua cinerea,asccuc1
11522,Piaye écureuil,Piaya cayana,squcuc1
11523,Piaye à ventre noir,Piaya melanogaster,blbcuc1
11524,Coulicou de Vieillot,Coccyzus melacoryphus,dabcuc1
11526,Coulicou d'Euler,Coccyzus euleri,pebcuc1
11527,Coulicou manioc,Coccyzus minor,mancuc
11530,Ani des palétuviers,Crotophaga major,greani1
11531,Ani à bec lisse,Crotophaga ani,smbani
11534,Géocoucou tacheté,Tapera naevia,strcuc1
11536,Géocoucou pavonin,Dromococcyx pavoninus,pavcuc1
11547,Yellow-nosed Albatross,Thalassarche chlororhynchos,yenalb
11554,Donacobe à miroir,Donacobius atricapilla,bkcdon
11558,Bruant des savanes,Ammodramus humeralis,graspa1
11617,Sicale des savanes,Sicalis luteola,gryfin1
11620,Grand Tardivole,Emberizoides herbicola,wtgfin1
11625,Jacarini noir,Volatinia jacarina,blbgra1
11628,Sporophile ardoisé,Sporophila schistacea,slcsee1
11629,Sporophile gris-de-plomb,Sporophila plumbea,plusee1
11631,Sporophile intermédiaire,Sporophila intermedia,grysee1
11632,Sporophile à ailes blanches,Sporophila americana,wibsee1
11635,Sporophile faux-bouvron,Sporophila bouvronides,lessee2
11636,Sporophile bouveron,Sporophila lineola,linsee1
11638,Sporophile à ventre jaune,Sporophila nigricollis,yebsee1
11642,Sporophile à ventre blanc,Sporophila leucoptera,whbsee1
11646,Sporophile bouvreuil,Sporophila bouvreuil,capsee1
11647,Sporophile petit-louis,Sporophila minuta,rubsee1
11651,Sporophile à ventre châtain,Sporophila castaneiventris,chbsee1
11657,Sporophile curio,Sporophila angolensis,cbsfin
11658,Large-billed Seed-Finch,Sporophila crassirostris,lbsfin1
11659,Sporophile crassirostre / de Maximilien,Sporophila crassirostris / maximiliani,
11660,Sporophile de Maximilien,Sporophila maximiliani,gbsfin1
11668,Tohi silencieux,Arremon taciturnus,pecspa1
11713,Araguira gris,Coryphospingus pileatus,pilfin1
11714,Red-crested Finch,Coryphospingus cucullatus,recfin1
11724,Estrildidae sp.,,
11727,Capucin indéterminé,Lonchura sp.,lonchu1
11730,Caurale soleil,Eurypyga helias,sunbit1
11731,Macagua rieur,Herpetotheres cachinnans,laufal1
11732,Carnifex barré,Micrastur ruficollis,baffal1
11734,Carnifex à gorge cendrée,Micrastur gilvicollis,liffal1
11736,Carnifex ardoisé,Micrastur mirandollei,sbffal1
11737,Carnifex à collier,Micrastur semitorquatus,coffal1
11740,Caracara huppé,Caracara plancus cheriway,crecar1
11742,Red-throated Caracara,Ibycter americanus,retcar2
11747,Caracara noir,Daptrius ater,blacar1
11748,Caracara à tête jaune,Milvago chimachima,
11754,Faucon des chauves-souris,Falco rufigularis,batfal1
11755,Faucon orangé,Falco deiroleucus,orbfal1
11756,Faucon aplomado,Falco femoralis,aplfal
11762,Tétéma colma,Formicarius colma,rucant2
11763,Tétéma coq-de-bois,Formicarius analis,blfant1
11781,Red Siskin,Carduelis cucullata,redsis1
11783,Hooded Siskin,Carduelis magellanica,hoosis1
11787,Black Siskin,Carduelis atrata,blasis1
11791,Organiste plombé,Euphonia plumbea,plueup1
11792,Organiste chlorotique,Euphonia chlorotica,puteup1
11796,Organiste de Finsch,Euphonia finschi,fineup1
11797,Organiste teité,Euphonia violacea,vioeup1
11800,Organiste doré,Chlorophonia cyanocephala,goreup1
11802,Organiste fardé,Euphonia chrysopasta,gobeup1
11804,Organiste cul-blanc,Euphonia minuta,whveup1
11808,Organiste nègre,Euphonia cayennensis,goseup1
11813,Sclérure à gorge rousse,Sclerurus obscurior,soalea1
11814,Sclérure à bec court,Sclerurus rufigularis,shblea1
11816,Sclérure des ombres,Sclerurus caudacutus,bltlea1
11863,Wren-like Rushbird,Phleocryptes melanops,wrlrus1
11896,Synallaxe albane,Synallaxis albescens,pabspi1
11901,Synallaxe ardent,Synallaxis rutilans,rudspi1
11908,Synallaxe à ventre blanc,Mazaria propinqua,whbspi1
11909,Synallaxe de McConnell,Synallaxis macconnelli,mccspi1
11913,Synallaxe de Cayenne,Synallaxis gujanensis,plcspi1
11942,Synallaxe ponctué,Cranioleuca gutturata,
11944,Synallaxe à gorge jaune,Certhiaxis cinnamomeus,yecspi2
11999,Buffy Tuftedcheek,Pseudocolaptes lawrencii,buftuf1
12003,Anabate des palmiers,Berlepschia rikeri,potpal1
12017,Anabate rougequeue,Anabacerthia ruficaudata,rutfog1
12019,Anabate à croupion roux,Philydor erythrocercum,
12025,Anabate flamboyant,Philydor pyrrhodes,crfgle1
12035,Anabate à gorge fauve,Automolus ochrolaemus,btfgle1
12036,Anabate olivâtre,Automolus infuscatus,obfgle3
12041,Anabate rubigineux,Clibanornis rubiginosus,rufgle1
12042,Anabate à couronne rousse,Automolus rufipileatus,ccfgle2
12050,Sittine à queue rousse,Microxenops milleri,rutxen1
12051,Sittine des rameaux,Xenops tenuirostris,slbxen1
12052,Sittine brune,Xenops minutus,plaxen4
12053,Sittine striée,Xenops rutilans,strxen1
12055,Grimpar enfumé,Dendrocincla fuliginosa,plbwoo1
12056,Grimpar à menton blanc,Dendrocincla merula,whcwoo1
12058,Grimpar à longue queue,Deconychura longicauda,lotwoo4
12059,Grimpar à gorge tachetée,Certhiasomus stictolaemus,sptwoo1
12060,Grimpar fauvette,Sittasomus griseicapillus,oliwoo1
12061,Grimpar bec-en-coin,Glyphorynchus spirurus,webwoo1
12063,Grimpar nasican,Nasica longirostris,lobwoo1
12064,Grimpar à collier,Dendrexetastes rufigula,citwoo1
12066,Grimpar de Perrot,Hylexetastes perrotii,rebwoo1
12067,Grimpar géant,Xiphocolaptes promeropirhynchus,stbwoo1
12072,Grimpar barré,Dendrocolaptes certhia,amabaw1
12073,Grimpar varié,Dendrocolaptes picumnus,blbwoo1
12076,Grimpar talapiot,Dendroplex picus,stbwoo2
12078,Grimpar strié,Xiphorhynchus obsoletus,strwoo2
12083,Grimpar flambé,Xiphorhynchus pardalotus,chrwoo1
12085,Grimpar des cabosses,Xiphorhynchus guttatus,butwoo1
12094,Grimpar lancéolé,Lepidocolaptes albolineatus,linwoo3
12096,Grimpar à bec rouge,Campylorhamphus trochilirostris,rebscy1
12098,Grimpar à bec courbe,Campylorhamphus procurvoides,cubscy1
12103,Jacamar brun,Brachygalba lugubris,brojac2
12107,Jacamar à bec jaune,Galbula albirostris,yebjac1
12110,Jacamar vert,Galbula galbula,grtjac1
12115,Jacamar à ventre blanc,Galbula leucogastra,brojac1
12116,Jacamar à longue queue,Galbula dea,parjac1
12117,Grand Jacamar,Jacamerops aureus,grejac2
12121,Grallaire roi,Grallaria varia,varant2
12151,Grallaire tachetée,Hylopezus macularius,spoant6
12158,Grallaire grand-beffroi,Myrmothera campanisona,thlant2
12169,Huîtrier d'Amérique,Haematopus palliatus,ameoys
12172,Grébifoulque d'Amérique,Heliornis fulica,sungre1
12173,Hirondelle bleu et blanc,Pygochelidon cyanoleuca,bawswa1
12174,Hirondelle des torrents,Pygochelidon melanoleuca,blcswa2
12179,Hirondelle à ceinture blanche,Atticora fasciata,whbswa2
12180,Hirondelle à cuisses blanches,Atticora tibialis,whtswa1
12181,Hirondelle à gorge rousse,Stelgidopteryx ruficollis,srwswa1
12182,Hirondelle tapère,Progne tapera,brcmar1
12183,Purple Martin,Progne subis,purmar
12184,Hirondelle à ventre blanc,Progne dominicensis,carmar1
12185,Hirondelle de Cuba,Progne cryptoleuca,cubmar
12186,Hirondelle chalybée,Progne chalybea,gybmar
12187,Hirondelle gracieuse,Progne elegans,soumar
12190,Tree Swallow,Tachycineta bicolor,treswa
12192,Hirondelle à ailes blanches,Tachycineta albiventer,whwswa1
12202,Océanite à ventre noir,Fregetta tropica,bbspet1
12222,Cacique vert,Psarocolius viridis,greoro1
12224,Cacique huppé,Psarocolius decumanus,creoro1
12234,Cacique cul-jaune,Cacicus cela,yercac1
12235,Cacique cul-rouge,Cacicus haemorrhous,rercac1
12243,Oriole à épaulettes,Icterus cayanensis,epaori1
12244,Oriole moriche,Icterus chrysocephalus,
12250,Oriole jaune,Icterus nigrogularis,yelori1
12254,Carouge loriot,Gymnomystax mexicanus,oribla1
12264,Carouge à calotte rousse,Chrysomus ruficapillus,chcbla2
12265,Carouge à capuchon,Chrysomus icterocephalus,yehbla2
12272,Vacher géant,Molothrus oryzivorus,giacow
12274,Shiny Cowbird,Molothrus bonariensis,shicow
12275,Quiscale merle,Quiscalus lugubris,cargra1
12277,Sturnelle militaire,Leistes militaris,rebbla1
12282,Sturnelle des prés,Sturnella magna,easmea
12285,Piprite verdin,Piprites chloris,wibpip1
12288,Jacana noir,Jacana jacana,watjac1
12295,Mouette à tête grise,Chroicocephalus cirrocephalus,grhgul
12317,Goéland des Açores,Larus michahellis atlantis,yelgul2
12325,Sternula sp.,,sternu1
12326,Thalasseus sp.,,thalas1
12327,Sterninae sp.,,
12328,Least Tern,Sternula antillarum,leater1
12329,Sterne argentée,Sternula superciliaris,yebter2
12331,Sterne à gros bec,Phaetusa simplex,labter1
12357,Moqueur des savanes,Mimus gilvus,tromoc
12358,Long-tailed Mockingbird,Mimus longicaudatus,lotmoc1
12376,Motmot houtouc,Momotus momota,bucmot4
12380,Pipit jaunâtre,Anthus chii,yelpip2
12390,Grand Ibijau,Nyctibius grandis,grepot1
12391,Ibijau à longue queue,Nyctibius aethereus,lotpot1
12392,Ibijau gris,Nyctibius griseus,compot1
12394,Ibijau à ailes blanches,Nyctibius leucopterus,whwpot1
12395,Ibijau roux,Phyllaemulor bracteatus,rufpot1
12397,Colin huppé,Colinus cristatus,crebob1
12398,Tocro de Guyane,Odontophorus gujanensis,mawqua1
12411,Hoazin huppé,Opisthocomus hoazin,hoatzi1
12412,Oxyrhynque huppé,Oxyruncus cristatus,sharpb1
12418,Paruline à joues noires,Setophaga pitiayumi,tropar
12422,Paruline à poitrine baie,Setophaga castanea,babwar
12423,Blackburnian Warbler,Setophaga fusca,bkbwar
12427,Black-throated Blue Warbler,Setophaga caerulescens,btbwar
12435,Black-and-white Warbler,Mniotilta varia,bawwar
12436,Paruline orangée,Protonotaria citrea,prowar
12438,Ovenbird,Seiurus aurocapilla,ovenbi1
12442,Paruline à gorge grise,Oporornis agilis,conwar
12444,Common Yellowthroat,Geothlypis trichas,comyel
12446,Paruline équatoriale,Geothlypis aequinoctialis,masyel2
12449,Canada Warbler,Cardellina canadensis,canwar
12481,Paruline des rives,Myiothlypis rivularis,rivwar1
12483,Pélican brun,Pelecanus occidentalis,brnpel
12489,Phaéton à bec rouge,Phaethon aethereus,rebtro
12493,Cormoran vigua,Phalacrocorax brasilianus,
12499,Cormorant sp.,Phalacrocorax sp.,cormor1
12507,Picumne de Buffon,Picumnus exilis,gospic1
12510,Picumne à ventre blanc,Picumnus spilogaster,whbpic2
12511,Picumne de Cayenne,Picumnus minutissimus,arrpic1
12515,Picumne frangé,Picumnus cirratus,whbpic1
12529,Pic dominicain,Melanerpes candidus,whiwoo1
12531,Pic à chevron d'or,Melanerpes cruentatus,yetwoo2
12539,Golden-collared Woodpecker,Dryobates cassini,gocwoo2
12543,Pic rougeâtre,Dryobates sanguineus,blcwoo3
12544,Pic passerin,Dryobates passerinus,litwoo2
12554,Pic à gorge jaune,Piculus flavigula,yetwoo1
12555,Golden-green Woodpecker,Piculus chrysochloros,gogwoo1
12557,Pic or-olive,Colaptes rubiginosus,goowoo1
12560,Pic de Cayenne,Colaptes punctigula,spbwoo1
12561,Green-barred Woodpecker,Colaptes melanochloros,grbwoo3
12566,Pic ondé,Celeus undatus,wavwoo5
12567,Pic de Verreaux,Celeus grammicus,
12568,Pic mordoré,Celeus elegans,chewoo2
12571,Pic jaune,Celeus flavus,crcwoo2
12574,Pic à cravate noire,Celeus torquatus,rinwoo1
12576,Pic ouentou,Dryocopus lineatus,linwoo1
12580,Pic à cou rouge,Campephilus rubricollis,renwoo1
12582,Pic de Malherbe,Campephilus melanoleucos,crcwoo1
12586,Manakin à ventre blanc,Neopelma pallescens,pbtman1
12587,Manakin à panache doré,Neopelma chrysocephalum,sctman1
12592,Manakin minuscule,Tyranneutes virescens,titman1
12597,Manakin à gorge blanche,Corapipo gutturalis,whtman1
12605,Manakin à front blanc,Lepidothrix serena,whfman1
12609,Manakin casse-noisette,Manacus manacus,whbman1
12613,Manakin tijé,Chiroxiphia pareola,blbman1
12615,Swallow-tailed Manakin,Chiroxiphia caudata,swtman1
12620,Manakin noir,Xenopipo atronitens,blaman1
12624,Manakin à tête blanche,Pseudopipra pipra,whcman2
12625,Manakin auréole,Pipra aureola,crhman1
12630,Manakin à tête d'or,Ceratopipra erythrocephala,gohman1
12633,Euplecte indéterminé,Euplectes sp.,euplec1
12636,Tisserin indéterminé,Ploceus sp.,ploceu1
12642,Grèbe minime,Tachybaptus dominicus,leagre
12650,Microbate à collier,Microbates collaris,colgna1
12652,Microbate à long bec,Ramphocaenus melanurus,lobgna5
12653,Gobemoucheron tropical,Polioptila plumbea,trogna1
12655,Gobemoucheron guyanais,Polioptila guianensis,guigna3
12666,Pterodroma sp.,,pterod
12678,Pétrel de Trindade,Pterodroma arminjoniana,tripet1
12700,Short-tailed Shearwater,Puffinus tenuirostris,shtshe
12709,Puffin d'Audubon,Puffinus lherminieri,audshe
12720,Ara indéterminé,Ara / Diopsittaca / Orthopsittaca sp.,
12721,"Ara ""rouge"" indéterminé",Ara macao/chloropterus,y00792
12722,Ara rouge (macao),Ara macao,scamac1
12723,Ara chloroptère,Ara chloropterus,ragmac1
12725,Ara vert,Ara severus,chfmac1
12726,Ara macavouanne,Orthopsittaca manilatus,rebmac2
12730,Red-shouldered Macaw,Diopsittaca nobilis,resmac2
12738,Conure pavouane,Psittacara leucophthalmus,whepar2
12740,Jandaya Parakeet,Aratinga jandaya,janpar1
12741,Sun Parakeet,Aratinga solstitialis,sunpar1
12742,Conure « soleil »,Aratinga groupe solstitialis / pintoi,
12746,Conure cuivrée,Eupsittula pertinax,brtpar1
12755,Green-cheeked Parakeet,Pyrrhura molinae,gncpar
12759,Conure versicolore,Pyrrhura picta,paipar1
12774,Toui été,Forpus passerinus,grrpar1
12777,Toui de Sclater,Forpus modestus,dubpar1
12781,Toui à ailes variées,Brotogeris versicolurus,whwpar
12786,Toui para,Brotogeris chrysoptera,gowpar2
12796,Toui à sept couleurs,Touit batavicus,litpar2
12799,Toui à queue pourprée,Touit purpuratus,sarpar2
12803,Caïque maïpouri,Pionites melanocephalus,blhpar4
12805,Papegeai maillé,Deroptyus accipitrinus,refpar3
12811,Caïque à tête noire,Pyrilia caica,caipar2
12818,Caïque à queue courte,Graydidascalus brachyurus,shtpar2
12820,Pione à tête bleue,Pionus menstruus,blhpar1
12825,Pione violette,Pionus fuscus,duspar1
12826,Amazone indéterminée,Amazona sp.,amazon
12831,Amazone de Dufresne,Amazona dufresniana,blcpar2
12840,Amazone poudrée,Amazona farinosa,meapar
12843,Agami trompette,Psophia crepitans,gywtru1
12847,Râle ocellé,Micropygia schomburgkii,
12848,Râle gris,Rallus longirostris,manrai1
12850,Virginia Rail,Rallus limicola,virrai
12855,Râle des palétuviers,Aramides mangle,liwrai1
12856,Râle de Cayenne,Aramides cajaneus,gycwor1
12857,Râle à cou roux,Aramides axillaris,rnwrai1
12860,Râle concolore,Amaurolimnas concolor,unicra1
12862,Râle kiolo,Anurolimnas viridis,
12865,Râle brunoir,Laterallus melanophaius,ruscra1
12867,Râle grêle,Laterallus exilis,grbcra1
12869,Râle noir,Laterallus jamaicensis,blkrai
12872,Marouette à sourcils blancs,Porzana flaviventer,
12874,Râle plombé,Mustelirallus albicollis,astcra1
12877,Râle à bec peint,Mustelirallus erythrops,pabcra
12878,Râle tacheté,Pardirallus maculatus,sporai
12881,Common Gallinule,Gallinula galeata,comgal1
12882,Lesser Moorhen,Gallinula angulata,lesmoo1
12885,Talève favorite,Porphyrio flavirostris,azugal1
12895,Toucan toco,Ramphastos toco,toctou1
12897,Toucan à bec rouge,Ramphastos tucanus,whttou1
12900,Toucan ariel,Ramphastos vitellinus,chbtou1
12913,Toucanet koulik,Selenidera piperivora,guitou1
12915,Toucanet de Natterer,Selenidera nattereri,tattou1
12919,Araçari vert,Pteroglossus viridis,greara1
12922,Araçari grigri,Pteroglossus aracari,blnara1
12928,Échasse d'Amérique,Himantopus mexicanus,bknsti
12929,American Avocet,Recurvirostra americana,ameavo
12989,Bec-en-ciseaux noir,Rynchops niger,blkski
12990,Bec-en-ciseaux noir cinerascens,Rynchops niger cinerascens,blkski2
12991,Bec-en-ciseaux noir intercedens,Rynchops niger intercedens,blkski3
12992,Bec-en-ciseaux noir niger,Rynchops niger niger,blkski1
12995,Bécassine du Pantanal,Gallinago paraguaiae,soasni2
12997,Bécassine de Wilson / du Pantanal,Gallinago delicata / paraguaiae,
13000,Bécassine géante,Gallinago undulata,giasni1
13009,Hudsonian Godwit,Limosa haemastica,hudgod
13011,Barge marbrée,Limosa fedoa,margod
13015,Courlis corlieu eurasiatique,Numenius phaeopus phaeopus,whimbr1
13017,Courlis à long bec,Numenius americanus,lobcur
13064,Guacharo des cavernes,Steatornis caripensis,oilbir1
13065,Grand Labbe / de McCormick,Stercorarius skua / maccormicki,
13069,Labbe de McCormick,Stercorarius maccormicki,sopsku1
13074,Tropical Screech-Owl,Megascops choliba,trsowl
13082,Petit-duc de Watson,Megascops watsonii,tabsco1
13087,Petit-duc du Roraima,Megascops roraimae,foosco1
13089,Duc à aigrettes,Lophostrix cristata,creowl1
